Number of SNPs used: 72446
Population	Percentage
Amerindian	0.16%
Arabian	-
Armenian	4.86%
Basque	1.33%
Central_African	-
Central_Euro	7.72%
East_African	-
East_Asian	-
East_Balkan	14.55%
East_Central_Asian	0.18%
East_Central_Euro	8.55%
East_Med	9.68%
Eastern_Euro	3.22%
Fennoscandian	8.80%
French	4.82%
Iberian	7.23%
Indo-Chinese	1.46%
Italian	10.46%
Malayan	0.17%
Near_Eastern	1.70%
North_African	-
North_Atlantic	5.45%
North_Caucasian	5.12%
North_Sea	-
Northeast_African	-
Oceanian	-
Omotic	-
Pygmy	-
Siberian	-
South_Asian	-
South_Central_Asian	-
South_Chinese	-
Volga-Ural	-
West_African	-
West_Caucasian	1.15%
West_Med	3.39%
